Destination,Month,RoomType,Stars,PricePerNight
"Barcelona",6,"Standard",0,1904
"Barcelona",6,"Standard",0,1390
"Barcelona",6,"Standard",0,7
"Barcelona",6,"Standard",0,2671
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,1878
"Barcelona",6,"Standard",0,1718
"Barcelona",6,"Standard",0,1315
"Barcelona",6,"Standard",0,250
"Barcelona",6,"Standard",0,2308
"Barcelona",6,"Standard",0,1135
"Barcelona",6,"Standard",0,978
"Barcelona",6,"Standard",0,2648
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,2476
"Barcelona",6,"Standard",0,1255
"Barcelona",6,"Standard",0,1780
"Barcelona",6,"Standard",0,1390
"Barcelona",6,"Standard",0,2904
"Barcelona",6,"Standard",0,1376
"Barcelona",6,"Standard",0,2103
"Barcelona",6,"Standard",0,2012
"Barcelona",6,"Standard",0,2369
"Barcelona",6,"Standard",0,1540
"Barcelona",6,"Standard",0,1697
"Barcelona",6,"Standard",0,1166
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,1303
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,1621
"Barcelona",6,"Standard",0,2139
"Barcelona",6,"Standard",0,2829
"Barcelona",6,"Standard",0,1745
"Barcelona",6,"Standard",0,1538
"Barcelona",6,"Standard",0,3779
"Barcelona",6,"Standard",0,2334
"Barcelona",6,"Standard",0,4481
"Barcelona",6,"Standard",0,2526
"Barcelona",6,"Standard",0,1767
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,1970
"Barcelona",6,"Standard",0,2283
"Barcelona",6,"Standard",0,11
"Barcelona",6,"Standard",0,1345
"Barcelona",6,"Standard",0,2785
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,1452
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,2380
"Barcelona",6,"Standard",0,1874
"Barcelona",6,"Standard",0,1950
"Barcelona",6,"Standard",0,300
"Barcelona",6,"Standard",0,2659
"Barcelona",6,"Standard",0,1106
"Barcelona",6,"Standard",0,12
"Barcelona",6,"Standard",0,2241
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,3176
"Barcelona",6,"Standard",0,121
"Barcelona",6,"Standard",0,1450
"Barcelona",6,"Standard",0,1045
"Barcelona",6,"Standard",0,1554
"Barcelona",6,"Standard",0,1359
"Barcelona",6,"Standard",0,1282
"Barcelona",6,"Standard",0,2607
"Barcelona",6,"Standard",0,1438
"Barcelona",6,"Standard",0,1537
"Barcelona",6,"Standard",0,2295
"Barcelona",6,"Standard",0,990
"Barcelona",6,"Standard",0,1535
