,Hotels,Prices,Descriptions,Full_Descriptions
29,Residhotel Vieux Port,€ 773,1 large double bed,"Residhotel Vieux Port is located in Marseille's city centre, in front of the old port and a 15-minute walk from both the Mucem Museum and les Terrasses du Port Shopping Centre. It offers air-conditioned guest rooms with a private bathroom, flat-screen TVs and free WiFi.

Each spacious apartment has a kitchenette, a seating area and a flat-screen TV. Bed linen and towels are included.

A continental breakfast is available daily in the dining room. The reception is open every day from 07:30 to 12:30 and from 14:00 to 22:30.

Residhotel Vieux Port is in close proximity to the Palais de la Bourse and the Boulevard de la Canebière.

Vieux-Port Metro Station is just 200 metres from the property, and Saint-Charles train station is 1.3 km away. Public parking is available nearby."
30,Le Couvent Marseille,€ 900,1 extra-large double bed,"Le Couvent Marseille features accommodation within 800 metres of the centre of Marseille, with free WiFi, and a kitchen with a dishwasher, an oven and a microwave. The air-conditioned accommodation is 2.2 km from Plage des Catalans. The aparthotel has private entrance.

At the aparthotel, each unit has a wardrobe, a flat-screen TV, a private bathroom, bed linen and towels. A toaster, a fridge and stovetop are also available, as well as a coffee machine and a kettle. At the aparthotel, every unit is fitted with a seating area.

Popular points of interest near the aparthotel include Museum of European and Mediterranean Civilisations, Vieux Port Metro station and Joliette Metro Station. The nearest airport is Marseille Provence Airport, 21 km from Le Couvent Marseille."
31,Le Transvaal-Maison d'Hôtes,"€ 1,123",1 large double bed,"Offering city views, Le Transvaal-Maison d'Hôtes is an accommodation located in Marseille, 2.4 km from La Timone Metro Station and 3.3 km from Vieux Port Metro station. This bed and breakfast provides air-conditioned accommodation with a balcony. Free WiFi is available and private parking can be arranged at an extra charge.

At the bed and breakfast, the units include a wardrobe. Each unit is equipped with a kettle and a private bathroom, while some rooms are equipped with a terrace and some have garden views. At the bed and breakfast, units come with bed linen and towels.

There is a coffee shop and lounge.

Marseille Saint-Charles Train Station is 3.5 km from the bed and breakfast, while Castellane Metro Station is 3.7 km away. The nearest airport is Marseille Provence Airport, 24 km from Le Transvaal-Maison d'Hôtes."
32,Radisson Blu Hotel Marseille Vieux Port,"€ 1,619",Beds: 1 double or 2 singles,"Located in Marseille overlooking the Vieux Port, Radisson Blu Hotel Marseille Vieux Port is a 4-star hotel. It offers an outdoor swimming pool overlooking Fort Saint-Nicholas and a fitness room with a panoramic view of the main monuments of the city. Free WiFi access is available.

The air-conditioned guest rooms feature either a Provencal or an African décor. Some rooms have a view of the port and a Nespresso coffee machine. Each room is equipped with a flat-screen TV with cable channels. Bathrobes and slippers are provided in the suites.

The Quai du 7eme restaurant serves Mediterranean cuisine and proposes buffet breakfast every morning and guests can also enjoy cocktails and tapas in the Bar, with a view over the port.

A boules pitch can be enjoyed on the interior courtyard. With a 24-hour reception, Radisson Blu Hotel Marseille Vieux Port is also partnered with the 5 Mondes Spa just 40 metres away, where beauty treatments are possible at a discounted rate.

Indigo La Criée Car Park is just 80 metres away, available for an additional charge."
33,"14 THU Happynest, charmant appartement coeur de Marseille",€ 510,Managed by a private host,"14 THU Happynest, charmant appartement coeur de Marseille is located in the Vieux Port - La Canebière district of Marseille, 1.5 km from Joliette Metro Station, less than 1 km from Marseille Saint-Charles Train Station and 1.7 km from Les Terrasses du Port Shopping Centre. It is situated 500 metres from Vieux Port Metro station and provides a lift. The property is 2.3 km from Plage des Catalans, and within 800 metres of the city centre.

With free WiFi, this 1-bedroom apartment features a flat-screen TV, a washing machine and a fully equipped kitchen with a microwave and fridge. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Museum of European and Mediterranean Civilisations, Saint-Ferreol Street and Castellane Metro Station. The nearest airport is Marseille Provence Airport, 22 km from 14 THU Happynest, charmant appartement coeur de Marseille."
34,Hotel C2,"€ 1,636",1 large double bed,"Featuring a grand piano, HOTEL C2, located in the Pierre Puget courtyard in Marseille, is a 19th-century private mansion converted into a hotel. It features the original marble and parquet floors, columns, bas-relief sculptures, frescoes and bronze banisters, whilst offering a minimalist, contemporary twist. It opened in April 2014.

The light and airy guest rooms are spacious with designer furnishings and have a private bathroom.

A bar and meeting room. The hotel's specially-chartered boat leaves from the Vieux Port, and is available with the beach package. Each month the hotel also hosts art and photographic exhibitions and performances."
35,DANIEL,€ 363,Managed by a private host,"DANIEL features accommodation within 600 metres of the centre of Marseille, with free WiFi, and a kitchenette with a microwave, a fridge and a stovetop. The property is close to several well-known attractions, 1.2 km from Marseille Saint-Charles Train Station, 1.9 km from Museum of European and Mediterranean Civilisations and 1.8 km from Notre-Dame de la Garde Basilica. Plage des Catalans is 2.2 km from the apartment and La Timone Metro Station is 2.5 km away.

All units in the apartment complex are fitted with a coffee machine. There is a fully equipped private bathroom with shower and a hair dryer.

Dining options are available close to the apartment.

Popular points of interest near DANIEL include Saint-Ferreol Street, Castellane Metro Station and Vieux Port Metro station. The nearest airport is Marseille Provence Airport, 23 km from the accommodation."
36,Chez Nous - 7 Appartements sur le Vieux Port,€ 814,"2 beds (1 sofa bed, 1 large double)","In the Vieux Port - La Canebière district of Marseille, close to Vieux Port Metro station, Chez Nous - 7 Appartements sur le Vieux Port features free WiFi and a washing machine. The property is around 2.3 km from Fausse Monnaie, 2.4 km from Plage de Maldorme and 2.1 km from Castellane Metro Station. The property is 500 metres from the city centre and 1.1 km from Plage des Catalans.

Accommodation is fitted with air conditioning, a fully equipped kitchen with a dining area, a flat-screen TV and a private bathroom with shower and a hair dryer. A fridge is also featured, as well as a coffee machine and a kettle. At the apartment complex, all units include bed linen and towels.

Popular points of interest near the apartment include Palais du Pharo, Saint-Ferreol Street and Notre-Dame de la Garde Basilica. The nearest airport is Marseille Provence Airport, 23 km from Chez Nous - 7 Appartements sur le Vieux Port."
37,Aparthotel Adagio Access Marseille Prado Périer,€ 791,2 single beds," Aparthotel Adagio Access Marseille Prado Périer is located in a residential district, 750 metres from the Palais des Congrès and 1 km from the Velodrome Stadium. This aparthotel offers an indoor swimming pool. Perier Metro Station is just 150 metres away and WiFi access is free.

A fully-equipped kitchen equipped with hotplates is a standard facility in the accommodation at Aparthotel Adagio Access Marseille Prado Périer. All studios and apartments have an LCD TV and some have a separate bedroom.

A buffet breakfast of French viennoiseries is served every morning in Aparthotel Adagio Access Marseille Prado Périer 's breakfast room. Children from 4 to 11 years old can enjoy it at a reduced rate. There are drinks and snacks vending machines in the 24-hour reception, which also has luggage storage.

The property can be accessed from the A50, a 5-minute drive away. Guests can enjoy the beach 4 km away. Marseille Old Port is 3 km away and Parc Chanot is an 8-minute walk from this residence. Public parking is available nearby for an additional charge."
38,Welkeys Apartment - Sainte,"€ 1,125","3 beds (2 singles, 1 sofa bed)","In the Vieux Port - La Canebière district of Marseille, close to Saint-Ferreol Street, Welkeys Apartment - Sainte features free WiFi and a washing machine. The accommodation is an 11-minute walk from the Notre-Dame de la Garde Basilica.

The apartment features a TV. The kitchen has an oven and a microwave, as well as coffee machine.

Museum of European and Mediterranean Civilisations is 1.1 km from the apartment, while Palais du Pharo is 1.2 km away. The nearest airport is Marseille Provence Airport, 21 km from the property."
